Year,Age,No,Name,Movie
2002,29,1,Adrien Brody,The Pianist
1954,30,1,Marlon Brando,On The Waterfront
1977,30,2,Richard Dreyfuss,The Goodbye Girl
1961,31,1,Maximilian Schell,Judgment at Nuremberg
1995,31,2,Nicolas Cage,Leaving Las Vegas
1940,32,1,James Sterart,Philadelphia Story
1989,32,2,Daniel Day-Lewis,My Left Foot
1934,33,1,Clarke Gable,It Happened One Night
2014,33,2,Eddie Redmayne,The Theory of Everything
1933,34,1,Charles Laughton,Private Life Henry VIII
1939,34,2,Robert Donat,"Goodbye, Mr. Chips"
1953,35,1,William Holden,Stalag 17
1959,35,2,Charlton Heston,Ben-Hur
1985,35,3,William Hurt,Kiss of the Spider
1956,36,1,Yul Brenner,The King And I
2000,36,2,Russel Crowe,Galdiator
1937,37,1,Spencer Tracy,Captains Courageous
1980,37,2,Robert De Niro,Raging Bull
1993,37,3,Tom Hanks,Philadelphia
2004,37,4,Jamie Foxx,Ray
1929,38,1,Warner Baxter,In Old Arizona
1938,38,2,Spencer Tracy,Boys Town
1945,38,3,Ray Milland,The Lost Weekend
1949,38,4,Broderick Crawford,All the King's Men
1950,38,5,Jose Ferrer,Cyrano Bergerac
1955,38,6,Ernist Borgnine,Marty
1975,38,7,Jack Nicholson,Cuckoo's Nest
1994,38,8,Tom Hanks,Forrest Gump
2005,38,9,Philip Seymour Hoffman,Capote
1963,39,1,Sidney Pointier,Lilies of the Field
1982,39,2,Ben Kingsly,Gandhi
2011,39,3,Jean Dujardin,The Artist
1941,40,1,Gary Cooper,Sergeant York
1971,40,2,Gene Hackman,The French Connection
1978,40,3,Jon Voight,Coming Home
1999,40,4,Kevin Spacey,American Beauty
1932,41,1,W. Beery(47)/F. March(35)*,The Champ/Dr. Jekyll and Mr. Hyde
1936,41,2,Paul Muni,Story of Louis Pasteur
1944,41,3,Bing Crosby,Going My Way
1948,41,4,Laurence Olivier,Hamlet
1965,41,5,Lee Marvin,Act Ballou
2015,41,6,Leonardo DiCaprio,The Revenant
2016,41,7,Casey Affleck,Manchester by the Sea
1967,42,1,Rod Steiger,In the Heat of The Night
1979,42,2,Dustin Hoffman,Kramer vs. Kramer
1990,42,3,Jeremy Irons,Reversal of Fortune
1942,43,1,James Cagney,Yankee Doodle Dandy
1957,43,2,Alec Guiness,Bridge on River Kwai
1968,43,3,Cliff Robertson,Charly
1970,43,4,George C Scott,Patton
1987,43,5,Michael Douglas,Wall Street
2003,43,6,Sean Penn,Mystic River
1928,44,1,Emil Jannings,The Last Command
1966,44,2,Paul Scofield,A Man For All Seasons
2013,44,3,Matthew McConaughey,Dallas Buyers Club
1984,45,1,F. Murray Abraham,Amadeus
1996,45,2,Geoffry Rush,Shine
2006,45,3,Forest Whitaker,Last King of Scotland
1962,46,1,Gregory Peck,To Kill a Mockingbird
1998,46,2,Robert Benigni,Life is Beautiful
1960,47,1,Burt Lancaster,Elmer Gantry
2001,47,2,Denzel Washington,Training Day
1943,48,1,Paul Lukas,Watch on the Rhine
1958,48,2,David Niven,Separate Tables
1972,48,3,Marlon Brando,The Godfather
1973,48,4,Jack Lemmon,Save The Tiger
2008,48,5,Sean Penn,Milk
1935,49,1,Victor McLagen,The Informer
1946,49,2,Fredric March,Best Years of Our Lives
2010,50,1,Colin Firth,The King's Speech
1952,51,1,Gary Cooper,High Noon
1988,51,2,Dustin Hoffman,Rain Man
2007,51,3,Daniel Day-Lewis,There Will Be Blood
1951,52,1,Humphrey Bogart,The African Queen
1983,52,2,Robert Duvall,Tender Mercies
1992,52,3,Al Pacino,Scent of a Woman
1931,53,1,Lionel Barrymore,A Free Soul
1991,54,1,Anthony Hopkins,Silence of the Lambs
2012,55,1,Daniel Day-Lewis,Lincoln
1947,56,1,Ronald Coleman,A Double Life
1964,56,2,Rex Harrison,My Fair Lady
1974,56,3,Art Carney,Harry and Tonto
1976,60,1,Peter Finch,Network
1997,60,2,Jack Nicholson,As Good As It Gets
2009,60,3,Jeff Bridges,Crazy Heart
1986,61,1,Paul Newman,The Colour of Money
1930,62,1,George Arliss,Disraeli
1969,62,2,John Wayne,True Grit
1981,76,1,Henry Fonda,On Golden Pond
