,Nominee,Nominations,First,Last,Last - First,born,No
8,Albert Basserman,1,1940,1940,0,1867,
127,George Arliss,2,1929,1929,0,1868,
151,Henry Travers,1,1942,1942,0,1874,
142,H. B. Warner,1,1937,1937,0,1875,
54,Charles Coburn,3,1941,1946,5,1877,
101,Edmund Gwenn,2,1947,1950,3,1877,
147,Harry Carey,1,1939,1939,0,1878,
248,Lionel Barrymore,1,1930,1930,0,1878,
246,Lewis Stone,1,1928,1928,0,1879,
371,Sydney Greenstreet,1,1941,1941,0,1879,
92,Donald Crisp,1,1941,1941,0,1882,
128,George Bancroft,1,1928,1928,0,1882,
182,James Gleason,1,1941,1941,0,1882,
402,Walter Huston,4,1936,1948,12,1883,
105,Emil Jannings,1,1927,1927,0,1884,
107,Erich von Stroheim,1,1950,1950,0,1885,
400,Wallace Beery,2,1929,1931,2,1885,
97,Ed Wynn,1,1959,1959,0,1886,
397,Victor McLaglen,2,1935,1952,17,1886,
345,Roland Young,1,1937,1937,0,1887,
26,Barry Fitzgerald,2,1944,1944,0,1888,
260,Maurice Chevalier,1,1929,1929,0,1888,
278,Monty Woolley,2,1942,1944,2,1888,
53,Charles Chaplin,1,1940,1940,0,1889,
66,Claude Rains,4,1939,1946,7,1889,
68,Clifton Webb,3,1944,1948,4,1889,
184,James Stephenson,1,1940,1940,0,1889,
361,Sessue Hayakawa,1,1957,1957,0,1889,
405,Warner Baxter,1,1928,1928,0,1889,
1,Adolphe Menjou,1,1930,1930,0,1890,
114,Frank Morgan,2,1934,1942,8,1890,
366,Stanley Holloway,1,1964,1964,0,1890,
51,Charles Bickford,3,1943,1948,5,1891,
124,Gene Lockhart,1,1938,1938,0,1891,
265,Michael Chekhov,1,1945,1945,0,1891,
291,Paul Lukas,1,1943,1943,0,1891,
347,Ronald Colman,3,1929,1947,18,1891,
355,Sam Jaffe,1,1950,1950,0,1891,
14,Alfred Lunt,1,1931,1931,0,1892,
27,Basil Rathbone,2,1936,1938,2,1892,
379,Thomas Mitchell,2,1937,1939,2,1892,
410,William Demarest,1,1946,1946,0,1892,
416,William Powell,3,1934,1947,13,1892,
50,Cecil Kellaway,2,1948,1967,19,1893,
244,Leslie Howard,2,1932,1938,6,1893,
316,Richard Dix,1,1930,1930,0,1893,
401,Walter Brennan,4,1936,1941,5,1894,
249,Louis Calhern,1,1950,1950,0,1895,
292,Paul Muni,6,1928,1959,31,1895,
313,Richard Barthelmess,1,1927,1927,0,1895,
129,George Burns,1,1975,1975,0,1896,
159,J. Carrol Naish,2,1943,1945,2,1896,
219,Joseph Schildkraut,1,1937,1937,0,1896,
236,Lawrence Tibbett,1,1929,1929,0,1896,
310,Raymond Massey,1,1940,1940,0,1896,
118,Fredric March,5,1930,1951,21,1897,
404,Walter Pidgeon,2,1942,1943,1,1897,
240,Lee Tracy,1,1964,1964,0,1898,
288,Oscar Homolka,1,1948,1948,0,1898,
3,Akim Tamiroff,2,1936,1943,7,1899,
52,Charles Boyer,4,1937,1961,24,1899,
56,Charles Laughton,3,1932,1957,25,1899,
60,Chief Dan George,1,1970,1970,0,1899,
116,Fred Astaire,1,1974,1974,0,1899,
155,Humphrey Bogart,3,1943,1954,11,1899,
174,James Cagney,3,1938,1955,17,1899,
365,Spencer Tracy,9,1936,1967,31,1900,
40,Brian Donlevy,1,1939,1939,0,1901,
59,Chester Morris,1,1928,1928,0,1901,
65,Clark Gable,3,1934,1939,5,1901,
95,Ed Begley,1,1962,1962,0,1901,
120,Gary Cooper,5,1936,1952,16,1901,
179,James Dunn,1,1945,1945,0,1901,
239,Lee Strasberg,1,1974,1974,0,1901,
263,Melvyn Douglas,3,1963,1979,16,1901,
399,Vittorio De Sica,1,1957,1957,0,1901,
39,Brian Aherne,1,1939,1939,0,1902,
61,Chill Wills,1,1960,1960,0,1902,
206,John Houseman,1,1973,1973,0,1902,
307,Ralph Richardson,2,1949,1984,35,1902,
33,Bing Crosby,3,1944,1954,10,1903,
82,Dean Jagger,1,1949,1949,0,1903,
165,Jack Oakie,1,1940,1940,0,1903,
369,Stuart Erwin,1,1936,1936,0,1903,
49,Cary Grant,2,1941,1944,3,1904,
205,John Gielgud,2,1964,1981,17,1904,
305,Ralph Bellamy,1,1937,1937,0,1904,
332,Robert Montgomery,2,1937,1941,4,1904,
112,Franchot Tone,1,1935,1935,0,1905,
150,Henry Fonda,2,1940,1981,41,1905,
241,Leo Genn,1,1951,1951,0,1905,
276,Mischa Auer,1,1936,1936,0,1905,
309,Ray Milland,1,1945,1945,0,1905,
326,Robert Donat,2,1938,1939,1,1905,
377,Thomas Gomez,1,1947,1947,0,1905,
411,William Gargan,1,1940,1940,0,1905,
98,Eddie Albert,2,1953,1972,19,1906,
