,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
8,Albert Basserman,1,1940,1940,0,1867,,60168,Albert Bassermann,1867-9-7,"Mannheim, Germany"
127,George Arliss,2,1929,1929,0,1868,,2183,,1868-4-10,"London, England, UK"
151,Henry Travers,1,1942,1942,0,1874,,871287,,1874-3-5,"Prudhoe, Northumberland, England, UK"
142,H. B. Warner,1,1937,1937,0,1875,,912478,H.B. Warner,1875-10-26,"London, England, UK"
54,Charles Coburn,3,1941,1946,5,1877,,2013,,1877-6-19,"Savannah, Georgia, USA"
101,Edmund Gwenn,2,1947,1950,3,1877,,350324,,1877-9-26,"Wandsworth, London, England, UK"
147,Harry Carey,1,1939,1939,0,1878,,1013,Harry Carey Jr.,1921-5-16,"Saugus, California, USA"
248,Lionel Barrymore,1,1930,1930,0,1878,,859,,1878-4-28,"Philadelphia, Pennsylvania, USA"
246,Lewis Stone,1,1928,1928,0,1879,,832011,,1879-11-15,"Worcester, Massachusetts, USA"
371,Sydney Greenstreet,1,1941,1941,0,1879,,2113,,1879-12-27,"Sandwich, Kent, England, UK"
92,Donald Crisp,1,1941,1941,0,1882,,187981,,1882-7-27,"Bow, London, England, UK"
128,George Bancroft,1,1928,1928,0,1882,,51628,,1882-9-30,"Philadelphia, Pennsylvania, USA"
182,James Gleason,1,1941,1941,0,1882,,322299,,1882-5-23,"New York City, New York, USA"
402,Walter Huston,4,1936,1948,12,1883,,404158,,1883-4-5,"Toronto, Ontario, Canada"
105,Emil Jannings,1,1927,1927,0,1884,,417837,,1884-7-23,"Rorschach, St. Gallen, Switzerland"
107,Erich von Stroheim,1,1950,1950,0,1885,,2233,,1885-9-22,"Vienna, Austria-Hungary [now Austria]"
400,Wallace Beery,2,1929,1931,2,1885,,891,,1885-4-1,"Kansas City, Missouri, USA"
97,Ed Wynn,1,1959,1959,0,1886,,943956,,1886-11-9,"Philadelphia, Pennsylvania, USA"
397,Victor McLaglen,2,1935,1952,17,1886,,572142,,1886-12-10,"Tunbridge Wells, Kent, England, UK"
345,Roland Young,1,1937,1937,0,1887,,950019,,1887-11-11,"London, England, UK"
26,Barry Fitzgerald,2,1944,1944,0,1888,,280178,,1888-3-10,"Dublin, Ireland"
260,Maurice Chevalier,1,1929,1929,0,1888,,2001,,1888-9-12,"Paris, France"
278,Monty Woolley,2,1942,1944,2,1888,,941253,,1888-8-17,"New York City, New York, USA"
53,Charles Chaplin,1,1940,1940,0,1889,,122,,1889-4-16,"Walworth, London, England, UK"
66,Claude Rains,4,1939,1946,7,1889,,1647,,1889-11-10,"Clapham, London, England, UK"
68,Clifton Webb,3,1944,1948,4,1889,,916067,,1889-11-19,"Indianapolis, Indiana, USA"
184,James Stephenson,1,1940,1940,0,1889,,827263,,1889-4-14,"Selby, Yorkshire, England, UK"
361,Sessue Hayakawa,1,1957,1957,0,1889,,370564,,1889-6-10,"Nanaura, Chiba, Japan"
405,Warner Baxter,1,1928,1928,0,1889,,62828,,1889-3-29,"Columbus, Ohio, USA"
1,Adolphe Menjou,1,1930,1930,0,1890,,579663,,1890-2-18,"Pittsburgh, Pennsylvania, USA"
114,Frank Morgan,2,1934,1942,8,1890,,604656,,1890-6-1,"New York City, New York, USA"
366,Stanley Holloway,1,1964,1964,0,1890,,391361,,1890-10-1,"Manor Park, London, England, UK"
51,Charles Bickford,3,1943,1948,5,1891,,1948,,1891-1-1,"Cambridge, Massachusetts, USA (1889, often given in error)"
124,Gene Lockhart,1,1938,1938,0,1891,,516876,,1891-7-18,"London, Ontario, Canada"
265,Michael Chekhov,1,1945,1945,0,1891,,155011,,1891-8-29,"St. Petersburg, Russian Empire [now Russia]"
291,Paul Lukas,1,1943,1943,0,1891,,510134,,1891-5-26,"Budapest, Austria-Hungary [now Hungary]"
347,Ronald Colman,3,1929,1947,18,1891,,172903,,1891-2-9,"Richmond, Surrey, England, UK"
355,Sam Jaffe,1,1950,1950,0,1891,,415488,,1891-3-10,"New York City, New York, USA"
14,Alfred Lunt,1,1931,1931,0,1892,,526795,,1892-8-12,"Milwaukee, Wisconsin, USA"
27,Basil Rathbone,2,1936,1938,2,1892,,1651,,1892-6-13,"Johannesburg, South Africa"
379,Thomas Mitchell,2,1937,1939,2,1892,,593775,,1892-7-11,"Elizabeth, New Jersey, USA"
410,William Demarest,1,1946,1946,0,1892,,218131,,1892-2-27,"St. Paul, Minnesota, USA"
416,William Powell,3,1934,1947,13,1892,,1635,,1892-7-29,"Pittsburgh, Pennsylvania, USA"
50,Cecil Kellaway,2,1948,1967,19,1893,,445523,,1893-8-22,"Cape Town, South Africa"
244,Leslie Howard,2,1932,1938,6,1893,,1366,,1893-4-3,"Forest Hill, London, England, UK"
316,Richard Dix,1,1930,1930,0,1893,,228715,,1893-7-18,"St. Paul, Minnesota, USA"
401,Walter Brennan,4,1936,1941,5,1894,,974,,1894-7-25,"Lynn, Massachusetts, USA"
249,Louis Calhern,1,1950,1950,0,1895,,129894,,1895-2-19,"Brooklyn [now in New York City], New York, USA"
292,Paul Muni,6,1928,1959,31,1895,,612847,,1895-9-22,"Lemberg, Galicia, Austria-Hungary [now Lviv, Ukraine]"
313,Richard Barthelmess,1,1927,1927,0,1895,,1932,,1895-5-9,"New York City, New York, USA"
129,George Burns,1,1975,1975,0,1896,,122675,,1896-1-20,"New York City, New York, USA"
159,J. Carrol Naish,2,1943,1945,2,1896,,619798,,1896-1-21,"New York City, New York, USA"
219,Joseph Schildkraut,1,1937,1937,0,1896,,771584,,1896-3-22,"Vienna, Austria-Hungary [now Austria]"
236,Lawrence Tibbett,1,1929,1929,0,1896,,862546,,1896-11-16,"Bakersfield, California, USA"
310,Raymond Massey,1,1940,1940,0,1896,,557339,,1896-8-30,"Toronto, Ontario, Canada"
118,Fredric March,5,1930,1951,21,1897,,545298,,1897-8-31,"Racine, Wisconsin, USA"
404,Walter Pidgeon,2,1942,1943,1,1897,,682074,,1897-9-23,"Saint John, New Brunswick, Canada"
240,Lee Tracy,1,1964,1964,0,1898,,870543,,1898-4-14,"Atlanta, Georgia, USA"
288,Oscar Homolka,1,1948,1948,0,1898,,393028,Oskar Homolka,1898-8-12,"Vienna, Austria-Hungary [now Austria]"
3,Akim Tamiroff,2,1936,1943,7,1899,,848667,,1899-10-29,"Tiflis, Russian Empire [now Tbilisi, Republic of Georgia]"
52,Charles Boyer,4,1937,1961,24,1899,,964,,1899-8-28,"Figeac, Lot, France"
56,Charles Laughton,3,1932,1957,25,1899,,1452,,1899-7-1,"Victoria Hotel, Scarborough, Yorkshire, England, UK"
60,Chief Dan George,1,1970,1970,0,1899,,313381,,1899-7-24,"North Vancouver, British Columbia, Canada"
116,Fred Astaire,1,1974,1974,0,1899,,1,,1899-5-10,"Omaha, Nebraska, USA"
155,Humphrey Bogart,3,1943,1954,11,1899,,7,,1899-12-25,"New York City, New York, USA"
174,James Cagney,3,1938,1955,17,1899,,10,,1899-7-17,"New York City, New York, USA"
365,Spencer Tracy,9,1936,1967,31,1900,,75,,1900-4-5,"Milwaukee, Wisconsin, USA"
40,Brian Donlevy,1,1939,1939,0,1901,,2046,,1901-2-9,"Cleveland, Ohio, USA"
59,Chester Morris,1,1928,1928,0,1901,,606431,,1901-2-16,"New York City, New York, USA"
65,Clark Gable,3,1934,1939,5,1901,,22,,1901-2-1,"Cadiz, Ohio, USA"
95,Ed Begley,1,1962,1962,0,1901,,893,Ed Begley Jr.,1949-9-16,"Los Angeles, California, USA"
120,Gary Cooper,5,1936,1952,16,1901,,11,,1901-5-7,"Helena, Montana, USA"
179,James Dunn,1,1945,1945,0,1901,,7223,,1901-11-2,"New York City, New York, USA"
239,Lee Strasberg,1,1974,1974,0,1901,,833448,,1901-11-17,"Budzanów, Galicia, Austria-Hungary [now Budaniv, Ukraine]"
263,Melvyn Douglas,3,1963,1979,16,1901,,2048,,1901-4-5,"Macon, Georgia, USA"
399,Vittorio De Sica,1,1957,1957,0,1901,,1120,,1901-7-7,"Sora, Lazio, Italy"
39,Brian Aherne,1,1939,1939,0,1902,,731,,1902-5-2,"King's Norton, Worcestershire, England, UK"
61,Chill Wills,1,1960,1960,0,1902,,932629,,1902-7-18,"Seagoville, Texas, USA"
206,John Houseman,1,1973,1973,0,1902,,2144,,1902-9-22,"Bucharest, Romania"
307,Ralph Richardson,2,1949,1984,35,1902,,724732,,1902-12-19,"Tivoli Road, Cheltenham, Gloucestershire, England, UK"
33,Bing Crosby,3,1944,1954,10,1903,,1078,,1903-5-2,"Tacoma, Washington, USA"
82,Dean Jagger,1,1949,1949,0,1903,,415591,,1903-11-7,"Columbus Grove, Ohio, USA"
165,Jack Oakie,1,1940,1940,0,1903,,642988,,1903-11-12,"Sedalia, Missouri, USA"
369,Stuart Erwin,1,1936,1936,0,1903,,260020,,1903-2-14,"Squaw Valley, California, USA"
49,Cary Grant,2,1941,1944,3,1904,,26,,1904-1-18,"Horfield, Bristol, England, UK"
205,John Gielgud,2,1964,1981,17,1904,,24,,1904-4-14,"South Kensington, London, England, UK"
305,Ralph Bellamy,1,1937,1937,0,1904,,897,,1904-6-17,"Chicago, Illinois, USA"
332,Robert Montgomery,2,1937,1941,4,1904,,599910,,1904-5-21,"Fishkill Landing [now Beacon], New York, USA"
112,Franchot Tone,1,1935,1935,0,1905,,867144,,1905-2-27,"Niagara Falls, New York, USA"
150,Henry Fonda,2,1940,1981,41,1905,,20,,1905-5-16,"Grand Island, Nebraska, USA"
241,Leo Genn,1,1951,1951,0,1905,,312890,,1905-8-9,"London, England, UK"
276,Mischa Auer,1,1936,1936,0,1905,,41681,,1905-11-17,"St. Petersburg, Russian Empire [now Russia]"
309,Ray Milland,1,1945,1945,0,1905,,1537,,1907-1-3,"Neath, Glamorgan, Wales, UK"
326,Robert Donat,2,1938,1939,1,1905,,232196,,1905-3-18,"Withington, Manchester, England, UK"
377,Thomas Gomez,1,1947,1947,0,1905,,327089,,1905-7-10,"New York City, New York, USA"
411,William Gargan,1,1940,1940,0,1905,,307326,,1905-7-17,"Brooklyn, New York, USA"
98,Eddie Albert,2,1953,1972,19,1906,,734,,1906-4-22,"Rock Island, Illinois, USA"
134,George Sanders,1,1950,1950,0,1906,,1695,,1906-7-3,"St. Petersburg, Russian Empire [now Russia]"
208,John Huston,1,1963,1963,0,1906,,1379,,1906-8-5,"Nevada, Missouri, USA"
409,William Bendix,1,1942,1942,0,1906,,904,,1906-1-14,"New York City, New York, USA"
13,Alexander Knox,1,1944,1944,0,1907,,461594,,1907-1-16,"Strathroy, Ontario, Canada"
