,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
295,May Robson,1,1932,1932,0,1858,,733480,,1858-4-19,"Moama, New South Wales, Australia"
80,Dame May Whitty,2,1937,1942,5,1865,,926599,May Whitty,1865-6-19,"Liverpool, Merseyside, England, UK"
274,Marie Dressler,2,1930,1931,1,1868,,237597,,1868-11-9,"Cobourg, Ontario, Canada"
272,Maria Ouspenskaya,2,1936,1939,3,1876,,653642,,1876-7-29,"Tula, Russian Empire [now Russia]"
199,Josephine Hull,1,1950,1950,0,1877,,401449,,1877-1-3,"Newtonville, Massachusetts, USA"
255,Louise Dresser,1,1927,1927,0,1878,,237571,,1878-10-5,"Evansville, Indiana, USA"
115,Ethel Barrymore,4,1944,1949,5,1879,,856,,1879-8-15,"Philadelphia, Pennsylvania, USA"
167,Jane Darwell,1,1940,1940,0,1879,,2034,,1879-10-15,"Palmyra, Missouri, USA"
257,Lucile Watson,1,1943,1943,0,1879,,914778,,1879-5-27,"Québec City, Québec, Canada"
364,Sara Allgood,1,1941,1941,0,1879,,21329,,1879-10-31,"Dublin, Ireland, UK [now Republic of Ireland]"
271,Margaret Wycherly,1,1941,1941,0,1881,,943618,,1881-10-26,"London, England, UK"
100,Edna May Oliver,1,1939,1939,0,1883,,646829,,1883-11-9,"Malden, Massachusetts, USA"
46,Billie Burke,1,1938,1938,0,1884,,992,,1884-8-7,"Washington, District of Columbia, USA"
379,Spring Byington,1,1938,1938,0,1886,,1981,,1886-10-17,"Colorado Springs, Colorado, USA"
260,Lynn Fontanne,1,1931,1931,0,1887,,1981,,1886-10-17,"Colorado Springs, Colorado, USA"
79,Dame Edith Evans,3,1963,1967,4,1888,,262725,Edith Evans,1888-2-8,"Pimlico, London, England, UK"
134,Gladys Cooper,3,1942,1964,22,1888,,178066,,1888-12-18,"Lewisham, London, England, UK"
45,Beulah Bondi,2,1936,1938,2,1889,,94135,,1889-5-3,"Chicago, Illinois, USA"
280,Marjorie Rambeau,2,1940,1953,13,1889,,708081,,1889-7-15,"San Francisco, California, USA"
178,Jeanne Eagels,1,1928,1928,0,1890,,247074,,1890-6-26,"Kansas City, Missouri, USA"
279,Marjorie Main,1,1947,1947,0,1890,,537685,,1890-2-24,"Acton, Indiana, USA"
5,Alice Brady,2,1936,1937,1,1892,,103567,,1892-11-2,"New York City, New York, USA"
150,Hattie McDaniel,1,1939,1939,0,1892,,567408,,1895-6-10,"Wichita, Kansas, USA"
269,Margaret Rutherford,1,1963,1963,0,1892,,751983,,1892-5-11,"Balham, London, England, UK"
290,Mary Pickford,1,1928,1928,0,1892,,681933,,1892-4-8,"Toronto, Ontario, Canada"
328,Patricia Collinge,1,1941,1941,0,1892,,681933,,1892-4-8,"Toronto, Ontario, Canada"
337,Peggy Wood,1,1965,1965,0,1892,,939931,,1892-2-9,"Brooklyn, New York, USA"
354,Ruth Chatterton,2,1928,1929,1,1892,,154183,,1892-12-24,"New York City, New York, USA"
120,Fay Bainter,3,1938,1961,23,1893,,47810,,1893-12-7,"Los Angeles, California, USA"
245,Lillian Gish,1,1946,1946,0,1893,,1273,,1893-10-14,"Springfield, Ohio, USA"
78,Corinne Griffith,1,1928,1928,0,1894,,341464,,1894-11-21,"Texarkana, Texas, USA"
116,Ethel Waters,1,1949,1949,0,1896,,914083,,1896-10-31,"Chester, Pennsylvania, USA"
244,Lilia Skala,1,1963,1963,0,1896,,803785,,1896-11-28,"Vienna, Austria-Hungary [now Austria]"
355,Ruth Gordon,2,1965,1968,3,1896,,2106,,1896-10-30,"Quincy, Massachusetts, USA"
44,Betty Compson,1,1928,1928,0,1897,,173993,,1897-3-19,"Beaver, Utah, USA"
104,Elisabeth Bergner,1,1935,1935,0,1897,,74949,,1897-8-22,"Drohobycz, Galicia, Austria-Hungary [now Drohobych, Lviv Oblast, Ukraine]"
158,Hope Emerson,1,1950,1950,0,1897,,256216,,1897-10-29,"Hawarden, Iowa, USA"
203,Judith Anderson,1,1940,1940,0,1897,,752,,1897-2-10,"Adelaide, South Australia, Australia"
40,Bessie Love,1,1928,1928,0,1898,,522281,,1898-9-10,"Midland, Texas, USA"
144,Grace Moore,1,1934,1934,0,1898,,601254,,1898-12-5,"Slabtown, Tennessee, USA"
163,Irene Dunne,5,1930,1948,18,1898,,2050,,1898-12-20,"Louisville, Kentucky, USA"
254,Lotte Lenya,1,1961,1961,0,1898,,502322,,1898-10-18,"Vienna-Penzing, Austria-Hungary [now Austria]"
368,Shirley Booth,1,1952,1952,0,1898,,95804,,1898-8-30,"New York City, New York, USA"
