Year,Age,No,Name,Movie,imdbID,ambiguous?,bday,bplace
1986,21,1,Marlee Matlin,Children of a Lesser God,559144,,1965-8-24,"Morton Grove, Illinois, USA"
1928,22,1,Laura Gainor (aka Janet Gaynor),Sunrise,559144,,1965-8-24,"Morton Grove, Illinois, USA"
2012,22,2,Jennifer Lawrence,Silver Linings Playbook,2225369,,1990-8-15,"Louisville, Kentucky, USA"
1941,24,1,Joan Fontaine,Suspicion,21,,1917-10-22,"Tokyo, Japan"
1943,24,2,Jennifer Jones,The Song of Bernadette,428354,,1919-3-2,"Tulsa, Oklahoma, USA"
1953,24,3,Audrey Hepburn,Roman Holiday,30,,1929-5-4,"Ixelles, Brussels, Belgium"
1965,24,4,Julie Christie,Darling,1046,,1940-4-14,"Chabua, Assam Province, British India [now Assam, India]"
1999,25,1,Hillary Swank,Boys Don't Cry,5476,Hilary Swank,1974-7-30,"Lincoln, Nebraska, USA"
1933,26,1,Katherine Hepburn,Morning Glory,31,Katharine Hepburn,1907-5-12,"Hartford, Connecticut, USA"
1936,26,2,Luise Rainer,The Great Zeigfield,707023,,1910-1-12,"Düsseldorf, Germany"
1939,26,3,Vivien Leigh,Gone With The Wind,46,,1913-11-5,"Darjeeling, Bengal Presidency, British India [now West Bengal, India]"
1954,26,4,Grace Kelly,The Country Girl,38,,1929-11-12,"Philadelphia, Pennsylvania, USA"
1972,26,5,Liza Minnelli,Cabaret,591485,,1946-3-12,"Los Angeles, California, USA"
1988,26,6,Jodie Foster,The Accused,149,,1962-11-19,"Los Angeles, California, USA"
1998,26,7,Gwyneth Paltrow,Shakespeare In Love,569,,1972-9-27,"Los Angeles, California, USA"
2015,26,8,Brie Larson,Room,488953,,1989-10-1,"Sacramento, California, USA"
1935,27,1,Bette Davis,Dangerous,12,,1908-4-5,"Lowell, Massachusetts, USA"
1937,27,2,Luise Rainer,The Good Earth,707023,,1910-1-12,"Düsseldorf, Germany"
1957,27,3,Joanne Woodward,Three Faces of Eve,940946,,1930-2-27,"Thomasville, Georgia, USA"
1961,27,4,Sophia Loren,Two Women,47,,1934-9-20,"Rome, Lazio, Italy"
1950,28,1,Judy Holliday,Born Yesterday,391062,,1921-6-21,"New York City, New York, USA"
1960,28,2,Elizabeth Taylor,Butterfield 8,72,,1932-2-27,"Hampstead, London, England, UK"
2003,28,3,Charlize Theron,Monster,234,,1975-8-7,"Benoni, Transvaal, South Africa"
2016,28,4,Emma Stone,La La Land,1297015,,1988-11-6,"Scottsdale, Arizona, USA"
1940,29,1,Ginger Rogers,Kitty,1677,,1911-7-16,"Independence, Missouri, USA"
1944,29,2,Ingrid Bergman,Gaslight,6,,1915-8-29,"Stockholm, Sweden"
