,script_id,imdb_id,title,year,gross,lines_data,female,male,movie,total,female_per,male_per
0,1534,tt1022603,(500) Days of Summer,2009,37.0,743544525677477444334257777565774443444456445674543367553452777734237544553444343334444444467441433777777777777776634344344434244343433435535624644435776576434333377775756764434344466346764533566544444777533356445543543343334444535476332345777777777777776,5738,12762,,18500,0.31016216216216214,0.6898378378378378
1,1512,tt0147800,10 Things I Hate About You,1999,65.0,177775232027453334445777772243377733444376467744677740424516733144464355045563543423354653735714457434333434243540000354213722445102431377774150047353236346777770432577633435475477734777720434517632245454363064653552333354735636524467333433433433530001363,8992,10688,,19680,0.45691056910569106,0.5430894308943089
2,1514,tt0417385,12 and Holding,2005,,54613577777542124545444413677744334465476477533416774357535660534376444724437777421544734354157437777135461357777754212454544441367774433446547647753341677435753566053437644472443777742154473435415743777713,5324,10644,,15968,0.33341683366733466,0.6665831663326653
3,1517,tt2024544,12 Years a Slave,2013,60.0,4567334777777777777777447777756477777444777777777777443453437553133677762333344777777777777764355777777777651,3452,16176,,19628,0.17587120440187487,0.8241287955981251
4,1520,tt1542344,127 Hours,2010,20.0,453513352345765766777777773340,809,4336,,5145,0.15724003887269195,0.8427599611273081
5,6537,tt0450385,1408,2007,91.0,37677777777777777776777737566646444336777661,284,3039,,3323,0.08546494131808606,0.914535058681914
6,3778,tt0103594,1492: Conquest of Paradise,1992,15.0,6677777755777777777743367646776777777777777777577775777777577765777625667777777572,487,7656,,8143,0.059805968316345326,0.9401940316836547
7,623,tt0179626,15 Minutes,2001,37.0,77777777777777777777777736777777744577777777777772344757753355477744433323344356777777777752577635346746777777777777777357775630,1524,7584,,9108,0.1673254281949934,0.8326745718050066
8,1525,tt0974661,17 Again,2009,74.0,7667676775564344777777776764653356777477725754325365623325777777534744435353535677635756555332457623346757667766776465343777777777673673336777567734772424464723324777777633754434453535577735674735522447715237663,3806,12832,,16638,0.22875345594422405,0.771246544055776
9,6030,tt1272878,2 Guns,2013,80.0,36765777777777576766742575636777775777777777777774447777777777777446777777777775477777766766736777777777777777777777777777455777767667777,583,9206,,9789,0.059556645214015734,0.9404433547859843
10,625,tt0062622,2001: A Space Odyssey,1968,376.0,77777344575756777777777777777777777777777777777777774,155,4246,,4401,0.035219268348102704,0.9647807316518973
11,1509,tt1190080,2012,2009,192.0,777763446720677667777645766367446667764316655466674767775067754553577577674574677756546763676434755546776777735447513677667777555674475456677745137563656774767772277744634677576754765677754656744776155655457761,2560,11574,,14134,0.18112353190887223,0.8188764680911278
12,8543,tt0478087,21,2008,98.0,667777777777777766777777765477777755653777776767775334777667777667754667476576776777577761,732,9088,,9820,0.07454175152749491,0.9254582484725051
13,7834,tt2294449,22 Jump Street,2014,204.0,7766777777777777744677777767767777774676345466233437777777777464457634467767777777777775634454763364566777767777777545777777775777667624777536,1591,8355,,9946,0.1599638045445405,0.8400361954554595
14,630,tt0307901,25th Hour,2002,19.0,7777775254554345777756357747777777777777657777777734177577477774777777777777765443367777777547777765663,1073,9059,,10132,0.1059020923805764,0.8940979076194236
15,3784,tt0191754,28 Days,2000,59.0,011400251020230262311,1705,699,,2404,0.709234608985025,0.29076539101497506
16,6360,tt0289043,28 Days Later...,2002,67.0,77775656553332513364744366633674233634453455754441577667476777577732662266334,1304,3309,,4613,0.2826793843485801,0.7173206156514199
17,7597,tt0463854,28 Weeks Later,2007,36.0,53445555437566432643437272453366145776156777536766557632,1019,2091,,3110,0.3276527331189711,0.672347266881029
18,8209,tt2172934,3 Days to Kill,2014,32.0,46456777777777433444344341444343333334243333233424322343347777777643456574544344346653344332426555534265475251343247543223454335320223,4573,5575,,10148,0.4506306661411115,0.5493693338588884
19,1408,tt0094137,3 Men and a Baby,1987,373.0,777777777777777777776777777775557667777777777777777777777777777777777777777777777777777777732535466777777471,632,12366,,12998,0.048622865056162486,0.9513771349438375
20,7678,tt0075612,3 Women,1977,,020000301001012230,1531,171,,1702,0.899529964747356,0.10047003525264395
21,8671,tt0389722,30 Days of Night,2007,50.0,77763444444477564465663554446554754446666637544344455673535446345345565743553645332,1713,4161,,5874,0.2916241062308478,0.7083758937691522
22,1530,tt1622547,30 Minutes or Less,2011,40.0,777777774333357777777777777777777777777777777777777746777777777777644437777557657777777777776777777677777766767777676556777763,704,14278,,14982,0.04698972099853157,0.9530102790014684
23,7770,tt0416449,300,2006,280.0,77775557777754756734757777777777777776467777777777777645477777777602256277777773,1071,9348,,10419,0.10279297437374028,0.8972070256262598
24,3789,tt0381849,3:10 to Yuma,2007,67.0,5457777777774576677767777655667555676677777777777777777777777777777777777777777777777777775,145,5699,,5844,0.024811772758384667,0.9751882272416154
25,1502,tt0453562,42,2013,101.0,7777777777343577733553576546777777777765567377615777745777777777777767477677427667767662777777434443777777777777777777435761,1793,14974,,16767,0.10693624381225025,0.8930637561877497
26,1532,tt0083511,48 Hrs.,1982,224.0,773435775443477665754455677744347677544777776777777777756777777777777754536777777777777777777777735564367764777773254456744677744677753437773443677566735446777724277677346777767777777777747777777777777654357777777777777777777777545644477737777753354367644,3438,20866,,24304,0.1414581961816985,0.8585418038183015
27,3770,tt1306980,50/50,2011,38.0,34777777777763777774333244344433244735775433577776464454566347547755654575342433343543367564345433343567777335664653333546777361,2209,5617,,7826,0.28226424738052647,0.7177357526194735
28,1537,tt0134273,8MM,1999,62.0,544644533234436777777777600177577777777733423777777773577777777777777777777746433526777777777777554464373233344477777777763005775777777775243357777777537777777777777777777775553443477777777777764,4426,16082,,20508,0.21581821728106104,0.7841817827189389
29,5820,tt0268978,A Beautiful Mind,2001,262.0,777777777747777777777777434425547643266677775445445567743327742543552567767677745773,1496,6487,,7983,0.1873982212200927,0.8126017787799074
30,6574,tt0120633,A Civil Action,1998,105.0,554577777777677777777776637771,255,4553,,4808,0.05303660565723794,0.9469633943427621
31,4022,tt0066921,A Clockwork Orange,1971,,774477777777777544577777777777773455556777777777777777777777777776,703,10647,,11350,0.061938325991189425,0.9380616740088106
32,2190,tt0097243,A Dry White Season,1989,8.0,746567777647755764477624457755777656755544777765575677774677377446764435676567775577364377775,1716,9202,,10918,0.15717164315808757,0.8428283568419125
33,1538,tt0104257,A Few Good Men,1992,295.0,436747777777753633434677434437777777777764346777755676675436535756676667576446775466454657777777777777777476643457777777734577777777777753357776572534357776745435777777777777777775775434475677777776444434357754344577777777777443577775666757644464375757757,5854,36484,,42338,0.13826822240068024,0.8617317775993197
34,8880,tt0401445,A Good Year,2006,9.0,7756646567567346775562363315647351463252332534776333545363344324545775536735577,3374,6423,,9797,0.3443911401449423,0.6556088598550577
