,Nominee,Nominations,First,Last,Last - First,born,No
295,May Robson,1,1932,1932,0,1858,
80,Dame May Whitty,2,1937,1942,5,1865,
274,Marie Dressler,2,1930,1931,1,1868,
272,Maria Ouspenskaya,2,1936,1939,3,1876,
199,Josephine Hull,1,1950,1950,0,1877,
255,Louise Dresser,1,1927,1927,0,1878,
115,Ethel Barrymore,4,1944,1949,5,1879,
167,Jane Darwell,1,1940,1940,0,1879,
257,Lucile Watson,1,1943,1943,0,1879,
364,Sara Allgood,1,1941,1941,0,1879,
271,Margaret Wycherly,1,1941,1941,0,1881,
100,Edna May Oliver,1,1939,1939,0,1883,
46,Billie Burke,1,1938,1938,0,1884,
379,Spring Byington,1,1938,1938,0,1886,
260,Lynn Fontanne,1,1931,1931,0,1887,
79,Dame Edith Evans,3,1963,1967,4,1888,
134,Gladys Cooper,3,1942,1964,22,1888,
45,Beulah Bondi,2,1936,1938,2,1889,
280,Marjorie Rambeau,2,1940,1953,13,1889,
178,Jeanne Eagels,1,1928,1928,0,1890,
279,Marjorie Main,1,1947,1947,0,1890,
5,Alice Brady,2,1936,1937,1,1892,
150,Hattie McDaniel,1,1939,1939,0,1892,
269,Margaret Rutherford,1,1963,1963,0,1892,
290,Mary Pickford,1,1928,1928,0,1892,
328,Patricia Collinge,1,1941,1941,0,1892,
337,Peggy Wood,1,1965,1965,0,1892,
354,Ruth Chatterton,2,1928,1929,1,1892,
120,Fay Bainter,3,1938,1961,23,1893,
245,Lillian Gish,1,1946,1946,0,1893,
78,Corinne Griffith,1,1928,1928,0,1894,
116,Ethel Waters,1,1949,1949,0,1896,
244,Lilia Skala,1,1963,1963,0,1896,
355,Ruth Gordon,2,1965,1968,3,1896,
44,Betty Compson,1,1928,1928,0,1897,
104,Elisabeth Bergner,1,1935,1935,0,1897,
158,Hope Emerson,1,1950,1950,0,1897,
203,Judith Anderson,1,1940,1940,0,1897,
40,Bessie Love,1,1928,1928,0,1898,
144,Grace Moore,1,1934,1934,0,1898,
163,Irene Dunne,5,1930,1948,18,1898,
254,Lotte Lenya,1,1961,1961,0,1898,
368,Shirley Booth,1,1952,1952,0,1898,
6,Aline MacMahon,1,1944,1944,0,1899,
117,Eva Le Gallienne,1,1980,1980,0,1899,
126,Gale Sondergaard,2,1936,1946,10,1899,
140,Gloria Swanson,3,1927,1950,23,1899,
160,Ida Kaminska,1,1966,1966,0,1899,
2,Agnes Moorehead,4,1942,1964,22,1900,
135,Gladys George,1,1936,1936,0,1900,
151,Helen Hayes,2,1931,1970,39,1900,
174,Jean Arthur,1,1943,1943,0,1900,
224,Katina Paxinou,1,1943,1943,0,1900,
16,Ann Harding,1,1930,1930,0,1901,
282,Marlene Dietrich,1,1930,1930,0,1901,
306,Mildred Dunnock,2,1951,1956,5,1901,
111,Elsa Lanchester,2,1949,1957,8,1902,
124,Flora Robson,1,1946,1946,0,1902,
312,Miriam Hopkins,1,1935,1935,0,1902,
323,Norma Shearer,6,1929,1938,9,1902,
395,Thelma Ritter,6,1950,1962,12,1902,
25,Anne Revere,3,1943,1947,4,1903,
75,Claudette Colbert,3,1934,1944,10,1903,
314,Nancy Carroll,1,1929,1929,0,1903,
399,Una Merkel,1,1961,1961,0,1903,
146,Greer Garson,7,1939,1960,21,1904,
147,Greta Garbo,3,1929,1939,10,1905,
307,Mildred Natwick,1,1967,1967,0,1905,
87,Diana Wynyard,1,1932,1932,0,1906,
155,Hermione Baddeley,1,1959,1959,0,1906,
170,Janet Gaynor,2,1927,1937,10,1906,
189,Joan Blondell,1,1951,1951,0,1906,
190,Joan Crawford,3,1945,1952,7,1906,
286,Mary Astor,1,1941,1941,0,1906,
36,Barbara Stanwyck,4,1937,1948,11,1907,
219,Katharine Hepburn,12,1932,1981,49,1907,
334,Peggy Ashcroft,1,1984,1984,0,1907,
351,Rosalind Russell,4,1942,1958,16,1907,
19,Anna Magnani,2,1955,1957,2,1908,
42,Bette Davis,11,1934,1962,28,1908,
56,Carole Lombard,1,1936,1936,0,1908,
68,Celia Johnson,1,1946,1946,0,1908,
119,Eve Arden,1,1945,1945,0,1908,
17,Ann Sothern,1,1987,1987,0,1909,
185,Jessica Tandy,2,1989,1991,2,1909,
270,Margaret Sullavan,1,1938,1938,0,1909,
308,Miliza Korjus,1,1938,1938,0,1909,
35,Barbara O'Neil,1,1940,1940,0,1910,
74,Claire Trevor,3,1937,1954,17,1910,
139,Gloria Stuart,1,1997,1997,0,1910,
258,Luise Rainer,2,1936,1937,1,1910,
332,Paulette Goddard,1,1943,1943,0,1910,
388,Sylvia Sidney,1,1973,1973,0,1910,
110,Ellen Corby,1,1948,1948,0,1911,
133,Ginger Rogers,1,1940,1940,0,1911,
302,Merle Oberon,1,1935,1935,0,1911,
356,Ruth Hussey,1,1940,1940,0,1911,
285,Martha Scott,1,1940,1940,0,1912,
406,Wendy Hiller,3,1938,1966,28,1912,
131,Geraldine Fitzgerald,1,1939,1939,0,1913,
252,Loretta Young,2,1947,1949,2,1913,
404,Vivien Leigh,2,1939,1951,12,1913,
10,Andrea Leeds,1,1937,1937,0,1914,
39,Beatrice Straight,1,1976,1976,0,1914,
187,Jo Van Fleet,1,1955,1955,0,1914,
201,Juanita Moore,1,1959,1959,0,1914,
226,Kay Medford,1,1968,1968,0,1914,
162,Ingrid Bergman,7,1943,1978,35,1915,
98,Dorothy McGuire,1,1947,1947,0,1916,
