ID,Name,Age,Gender,Paycheck
2014_1,Robert Downey Jr,49,male,75
2014_2,Dwayne Johnson,42,male,52
2014_3,Sandra Bullock,50,female,51
2014_4,Bradley Cooper,39,male,46
2014_5,Leonardo Dicaprio,40,male,39
2014_6,Chris Hemsworth,31,male,37
2014_7,Liam Neeson,62,male,36
2014_8,Ben Affleck,42,male,35
2014_9,Christian Bale,40,male,35
2014_10,Jennifer Lawrence,24,female,34
2014_11,Will Smith,46,male,32
2014_12,Mark Wahlberg,43,male,32
2014_13,Jennifer Aniston,45,female,31
2014_14,Gwenyth Paltrow,43,female,19
2014_15,Angelina Jolie,39,female,18
2014_16,Cameron Diaz,42,female,18
2014_17,Scarlett Johansson,30,female,17
2014_18,Amy Adams,40,female,13
2014_19,Natalie Portman,33,female,13
2014_20,Kristen Stewart,24,female,12
